OBJECTID,AUTOMAATNR,STRAATNAAM,ZONEBELPARKEREN,TARIEF,BETAALTIJDEN,X,Y,BUURTNR,WIJKNR,GEBIEDSNR,LON,LAT
96,9074,Arien Verhoeffstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190764.265,443414.037,1,1,1,5.9077486,51.9779801
97,9072,Trans / Weerdjesstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190652.638,443499.244,1,1,1,5.9061328,51.9787531
98,9068,Langstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190569.723,443641.764,1,1,1,5.9049408,51.9800394
99,9066,Oude Kraan / blauwe golven 1,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190322.912,443783.193,4,1,1,5.9013630,51.9813263
100,9065,Kadestraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191037.337,443222.988,0,1,1,5.9117029,51.9762453
101,9057,Turfstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190817.125,443518.843,0,1,1,5.9085289,51.9789187
102,9056,Trans / Rodenburgstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190754.997,443452.54,1,1,1,5.9076177,51.9783268
103,9048,Rijnkade / afrit Rodenburgstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190724.607,443306.133,1,1,1,5.9071602,51.9770128
104,9034,Beekstraat Catharinaplaats,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191067.226,443667.186,0,1,1,5.9121846,51.9802358
105,9033,Beekstraat / Damstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191095.522,443588.648,0,1,1,5.9125882,51.9795280
106,9031,Jansbinnensingel ,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190837.679,444109.126,3,1,1,5.9088898,51.9842227
107,9029,Prinsenhof / Oranjewachtstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191056.105,443333.848,0,1,1,5.9119877,51.9772405
108,9027,Eusebiusbuitensingel / Parkstraat,26071,"1,75",ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191332.525,443578.542,12,2,1,5.9160367,51.9794217
109,9025,Oude Kraan / Onderlangs,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190205.878,443885.296,70,1,1,5.8996701,51.9822514
110,9021,Eusebiusbuitensingel / Westervoortsedijk,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191293.592,443347.691,38,3,1,5.9154456,51.9773494
111,9020,Eusebiusbinnensingel / Oranjewachtstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191133.715,443342.116,0,1,1,5.9131181,51.9773098
112,9016,Bergstraat / Oude Kraan,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190311.92,443834.409,4,1,1,5.9012083,51.9817873
113,9012,Beekstraat / Broerenstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191070.854,443611.03,0,1,1,5.9122315,51.9797308
114,9009,Koningsplein,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191168.731,443678.87,0,1,1,5.9136633,51.9803342
115,9008,Velperbuitensingel,26075,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191259.537,443951.618,11,2,1,5.9150138,51.9827797
116,9006,Nieuwe Kade,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191152.328,443081.692,39,3,1,5.9133616,51.9749679
117,9005,Rijnkade / Vossenstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190436.082,443501.275,1,1,1,5.9029811,51.9787852
118,9003,Markt / Prinsenhof,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190974.155,443408.83,0,1,1,5.9108029,51.9779197
119,9002,Markt / Arien Verhoeffstraat,26001,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190902.38,443419.426,0,1,1,5.9097594,51.9780196
